SKU,Product_Name,Brand,Country,Channel,Business_Segment,Category,Subcategory,Collection,Units_Sold,Revenue,SellThrough,Rotation,Margin,Current_Store_Presence
SKU-0001,Stella Scarves Silk 1,Elegance,UK,Travel Retail,Fashion Accessories,Scarves,Silk,FW25,76,1836.79,0.629,1.86,15.76,1
SKU-0002,Stella Necklaces Chokers 2,Vogue,Germany,Retail,Fashion Accessories,Necklaces,Chokers,Core,27,754.09,0.959,0.66,636.03,0
SKU-0003,Vogue Rings Stackable 3,Elegance,Spain,Outlet,Fashion Accessories,Rings,Stackable,SS26,146,64.63,0.938,8.73,197.2,1
SKU-0004,Vogue Belts Fabric 4,Lumina,UK,Retail,Fashion Accessories,Belts,Fabric,FW25,157,13509.11,0.927,0.45,379.16,0
SKU-0005,Vogue Earrings Studs 5,Stella,Spain,Retail,Fashion Accessories,Earrings,Studs,Core,96,2851.19,0.542,1.49,107.83,1
SKU-0006,Vogue Bags Crossbody 6,Stella,Spain,Retail,Fashion Accessories,Bags,Crossbody,Core,21,693.99,0.282,1.85,230.36,1
SKU-0007,Stella Necklaces Chains 7,Lumina,Germany,Retail,Fashion Accessories,Necklaces,Chains,Limited Edition,41,689.29,0.844,0.86,284.83,1
SKU-0008,Stella Rings Statement 8,Aurelia,Germany,Retail,Fashion Accessories,Rings,Statement,SS26,219,1443.58,0.694,1.91,39.46,1
SKU-0009,Aurelia Earrings Drop 9,Vogue,Spain,Outlet,Fashion Accessories,Earrings,Drop,SS26,24,323.85,0.65,0.4,136.5,0
SKU-0010,Lumina Belts Leather 10,Stella,Italy,Retail,Fashion Accessories,Belts,Leather,Limited Edition,82,7689.05,0.295,4.06,60.59,1
SKU-0011,Stella Necklaces Pendants 11,Lumina,France,Travel Retail,Fashion Accessories,Necklaces,Pendants,Resort26,33,1460.09,0.849,0.25,123.16,1
SKU-0012,Stella Belts Leather 12,Vogue,France,Retail,Fashion Accessories,Belts,Leather,FW25,114,1366.87,0.214,0.24,4027.54,1
SKU-0013,Lumina Bags Crossbody 13,Lumina,Spain,Travel Retail,Fashion Accessories,Bags,Crossbody,Core,38,1994.08,0.453,9.09,41.22,1
SKU-0014,Lumina Bracelets Bangles 14,Vogue,France,Retail,Fashion Accessories,Bracelets,Bangles,Resort26,14,201.58,0.635,1.78,624.16,1
SKU-0015,Elegance Hair Accessories Headbands 15,Stella,Spain,Travel Retail,Fashion Accessories,Hair Accessories,Headbands,FW25,259,53.77,0.659,2.12,146.2,0
SKU-0016,Vogue Hair Accessories Scrunchies 16,Lumina,UK,Retail,Fashion Accessories,Hair Accessories,Scrunchies,SS26,68,9684.96,0.813,0.78,80.01,1
SKU-0017,Aurelia Necklaces Chains 17,Aurelia,Spain,Outlet,Fashion Accessories,Necklaces,Chains,FW25,58,72.64,0.569,1.11,481.38,1
SKU-0018,Vogue Earrings Studs 18,Aurelia,France,Retail,Fashion Accessories,Earrings,Studs,Limited Edition,26,2970.01,0.782,0.25,398.08,1
SKU-0019,Lumina Hair Accessories Scrunchies 19,Aurelia,UK,Outlet,Fashion Accessories,Hair Accessories,Scrunchies,FW25,33,985.81,0.196,8.4,715.88,0
SKU-0020,Stella Hair Accessories Scrunchies 20,Vogue,UK,Outlet,Fashion Accessories,Hair Accessories,Scrunchies,Limited Edition,45,56.72,0.386,1.4,69.98,1
SKU-0021,Aurelia Earrings Hoops 21,Lumina,Italy,Outlet,Fashion Accessories,Earrings,Hoops,SS26,12,1598.46,0.699,1.1,109.0,0
SKU-0022,Vogue Belts Leather 22,Lumina,UK,Travel Retail,Fashion Accessories,Belts,Leather,FW25,516,4083.06,0.559,4.85,22.95,1
SKU-0023,Aurelia Rings Stackable 23,Lumina,Germany,Travel Retail,Fashion Accessories,Rings,Stackable,Limited Edition,5,2754.0,0.437,0.54,128.89,0
SKU-0024,Aurelia Scarves Wool 24,Elegance,Spain,Outlet,Fashion Accessories,Scarves,Wool,Core,238,58.16,0.898,1.71,38.25,1
SKU-0025,Elegance Belts Leather 25,Elegance,France,Outlet,Fashion Accessories,Belts,Leather,Resort26,268,1237.61,0.936,1.04,30.36,1
SKU-0026,Elegance Bags Clutch 26,Lumina,Spain,Retail,Fashion Accessories,Bags,Clutch,SS26,36,53155.54,0.517,7.96,86.95,1
